NumAxe Jour Diam     X1       Y1       Z1      X2       Y2       Z2
    1    22    1.14 -247.47   22.97  351.05 -248.88   22.98  355.85
    1    23    1.10 -248.88   22.98  355.85 -249.78   22.55  360.75
    1    23    1.06 -249.78   22.55  360.75 -251.34   22.38  365.50
    1    23    1.06 -251.34   22.38  365.50 -252.21   22.38  370.42
    1    23    1.03 -252.21   22.38  370.42 -252.64   22.56  375.40
    1    23    1.03 -252.64   22.56  375.40 -253.52   22.82  380.31
    1    23    1.03 -253.52   22.82  380.31 -254.10   23.54  385.23
    1    24    1.03 -254.10   23.54  385.23 -255.27   23.86  390.08
    1    24    1.03 -255.27   23.86  390.08 -256.69   23.70  394.87
    1    24    1.03 -256.69   23.70  394.87 -258.55   23.98  399.50
    1    24    1.03 -258.55   23.98  399.50 -260.37   24.84  404.08
    1    24    0.96 -260.37   24.84  404.08 -262.70   26.00  408.34
    1    24    0.93 -262.70   26.00  408.34 -264.98   27.00  412.68
    1    25    0.93 -264.98   27.00  412.68 -266.81   28.40  417.12
    1    25    0.87 -266.81   28.40  417.12 -268.31   30.42  421.44
    1    25    0.87 -268.31   30.42  421.44 -269.64   31.79  426.06
    1    25    0.87 -269.64   31.79  426.06 -271.12   33.40  430.56
    1    25    0.81 -271.12   33.40  430.56 -272.38   35.11  435.08
    1    26    0.81 -272.38   35.11  435.08 -273.00   36.51  439.84
    1    26    0.81 -273.00   36.51  439.84 -273.55   37.20  444.76
    1    26    0.81 -273.55   37.20  444.76 -273.85   37.66  449.73
    1    26    0.81 -273.85   37.66  449.73 -273.77   38.49  454.66
    1    26    0.81 -273.77   38.49  454.66 -273.16   39.79  459.45
    1    26    0.81 -273.16   39.79  459.45 -273.17   41.10  464.28
    1    27    0.81 -273.17   41.10  464.28 -273.62   42.10  469.16
    1    27    0.81 -273.62   42.10  469.16 -274.27   42.99  474.03
    1    27    0.81 -274.27   42.99  474.03 -274.86   43.44  478.98
    1    27    0.81 -274.86   43.44  478.98 -276.10   43.88  483.80
    1    27    0.81 -276.10   43.88  483.80 -276.82   44.78  488.67
    1    27    0.81 -276.82   44.78  488.67 -277.70   46.20  493.38
    1    28    0.81 -277.70   46.20  493.38 -278.54   47.91  498.00
    1    28    0.81 -278.54   47.91  498.00 -278.66   49.65  502.69
    1    28    0.81 -278.66   49.65  502.69 -279.23   51.76  507.19
    1    28    0.81 -279.23   51.76  507.19 -280.22   53.79  511.65
    1    28    0.81 -280.22   53.79  511.65 -281.60   56.23  515.79
    1    29    0.81 -281.60   56.23  515.79 -282.82   59.07  519.72
    1    29    0.81 -282.82   59.07  519.72 -284.35   61.81  523.61
    1    29    0.81 -284.35   61.81  523.61 -285.90   64.34  527.63
    1    29    0.81 -285.90   64.34  527.63 -287.23   67.05  531.62
    1    29    0.81 -287.23   67.05  531.62 -288.02   69.82  535.70
    1    29    0.81 -288.02   69.82  535.70 -288.20   72.38  540.00
    1    30    0.81 -288.20   72.38  540.00 -288.86   74.89  544.27
    1    30    0.81 -288.86   74.89  544.27 -288.97   77.69  548.41
    1    30    0.81 -288.97   77.69  548.41 -288.71   80.53  552.52
    1    30    0.81 -288.71   80.53  552.52 -288.30   83.90  556.19
    1    30    0.81 -288.30   83.90  556.19 -288.35   87.40  559.76
    1    30    0.81 -288.35   87.40  559.76 -287.92   91.18  563.01
    2    13    0.61   -2.32   -0.04   41.12   -0.15    4.42   41.76
    2    13    0.61   -0.15    4.42   41.76    2.12    8.87   41.99
    2    14    0.57    2.12    8.87   41.99    4.19   13.36   42.75
    2    14    0.57    4.19   13.36   42.75    5.68   18.11   43.17
    2    14    0.57    5.68   18.11   43.17    7.36   22.82   43.09
    2    15    0.57    7.36   22.82   43.09    9.17   27.44   43.72
    2    15    0.57    9.17   27.44   43.72   11.29   31.96   43.92
    2    15    0.57   11.29   31.96   43.92   13.20   36.58   43.90
    2    16    0.57   13.20   36.58   43.90   14.54   41.40   44.07
    2    16    0.57   14.54   41.40   44.07   15.98   46.14   44.72
    2    16    0.57   15.98   46.14   44.72   17.25   50.81   45.97
    2    17    0.57   17.25   50.81   45.97   18.79   55.53   46.62
    2    17    0.57   18.79   55.53   46.62   20.80   60.08   47.05
    2    17    0.57   20.80   60.08   47.05   23.13   64.50   47.16
    2    18    0.57   23.13   64.50   47.16   24.93   69.13   47.76
    2    18    0.57   24.93   69.13   47.76   26.33   73.93   47.82
    2    18    0.57   26.33   73.93   47.82   27.24   78.84   47.53
    2    19    0.57   27.24   78.84   47.53   27.56   83.82   47.22
    2    19    0.57   27.56   83.82   47.22   27.32   88.81   47.31
    2    19    0.57   27.32   88.81   47.31   27.49   93.79   47.71
    2    20    0.57   27.49   93.79   47.71   27.96   98.77   47.59
    2    20    0.57   27.96   98.77   47.59   28.83  103.69   47.77
    2    20    0.57   28.83  103.69   47.77   29.13  108.68   47.87
    2    21    0.57   29.13  108.68   47.87   28.74  113.65   48.20
    2    21    0.57   28.74  113.65   48.20   28.79  118.65   48.12
    2    21    0.57   28.79  118.65   48.12   28.64  123.62   47.63
    2    22    0.50   28.64  123.62   47.63   28.51  128.53   46.66
    2    22    0.50   28.51  128.53   46.66   28.96  133.38   45.53
    2    22    0.50   28.96  133.38   45.53   29.12  138.35   45.09
    2    23    0.50   29.12  138.35   45.09   28.99  143.35   45.11
    2    23    0.50   28.99  143.35   45.11   28.24  148.29   45.38
    2    23    0.50   28.24  148.29   45.38   27.46  153.22   45.58
    2    24    0.50   27.46  153.22   45.58   27.41  158.22   45.86
    2    24    0.50   27.41  158.22   45.86   26.87  163.19   45.75
    2    24    0.50   26.87  163.19   45.75   25.90  168.07   46.23
    2    25    0.50   25.90  168.07   46.23   24.79  172.86   47.13
    2    25    0.50   24.79  172.86   47.13   23.66  177.69   47.73
    2    25    0.43   23.66  177.69   47.73   22.20  182.40   48.59
    2    26    0.43   22.20  182.40   48.59   20.93  187.22   48.94
    2    26    0.43   20.93  187.22   48.94   20.34  192.15   49.51
    2    26    0.43   20.34  192.15   49.51   19.92  197.13   49.59
    2    27    0.43   19.92  197.13   49.59   18.99  202.03   49.24
